Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,SO2,PM10,CO
01/21/1992,29,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,11,.,29,.,
01/22/1992,23,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,23,.,
01/23/1992,26,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,20,.,26,.,
01/24/1992,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,14,.,
01/25/1992,49,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,49,17,
01/26/1992,26,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,26,.,
01/27/1992,66,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,14,.,66,.,
01/28/1992,16,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,16,.,
01/29/1992,82,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,16,.,82,.,
01/30/1992,39,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,13,.,39,.,
01/31/1992,20,PM10,,17-019-0005,AQS,15,.,4,20,
02/01/1992,24,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,24,.,7,.,
02/02/1992,23,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,18,.,23,.,
02/03/1992,21,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,21,.,
02/04/1992,17,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,17,.,4,.,
02/05/1992,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,6,.,
02/06/1992,26,PM10,,17-019-0005,AQS,19,.,7,26,
02/07/1992,21,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,21,.,4,.,
02/08/1992,19,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,19,.,1,.,
02/09/1992,26,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,26,.,
02/10/1992,33,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,33,.,
02/11/1992,7,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,7,.,
02/12/1992,18,PM10,,17-019-0005,AQS,.,.,7,18,
02/13/1992,27,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,.,.,27,.,
02/14/1992,17,SO2,BOOKER T. WASHINGTON ES,17-019-0004,AQS,7,.,17,.,
02/15/1992,15,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,15,.,7,.,
