Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,SO2,PM10,CO
04/04/1993,43,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,43,.,6,.,
04/05/1993,27,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,27,.,14,.,
04/06/1993,40,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,40,.,16,.,
04/07/1993,46,PM10,,17-019-0005,AQS,41,.,26,46,
04/08/1993,28,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,28,.,14,.,
04/09/1993,36,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,36,.,3,.,
04/10/1993,44,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,44,.,20,.,
04/11/1993,29,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,29,.,24,.,
04/12/1993,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,4,.,
04/13/1993,33,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,33,.,4,22,
04/14/1993,26,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,26,.,14,.,
04/15/1993,26,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,26,.,7,.,
04/16/1993,26,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,26,.,3,.,
04/17/1993,40,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,40,.,6,.,
04/18/1993,41,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,41,.,10,.,
04/19/1993,32,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,32,.,6,19,
04/20/1993,25,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,25,.,3,.,
04/21/1993,36,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,36,.,4,.,
04/22/1993,45,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,45,.,4,.,
04/23/1993,47,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,47,.,9,.,
04/24/1993,41,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,41,.,9,.,
04/25/1993,43,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,43,.,3,13,
04/26/1993,38,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,38,.,6,.,
04/27/1993,43,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,43,.,21,.,
04/28/1993,46,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,46,.,19,.,
04/29/1993,31,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,31,.,4,.,
04/30/1993,43,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,43,.,3,.,
05/01/1993,40,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,40,.,39,.,
05/02/1993,40,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,40,.,7,.,
05/03/1993,35,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,35,.,7,.,
05/04/1993,26,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,26,.,6,.,
05/05/1993,42,Ozone,BOOKER T. WASHINGTON ES,17-019-0004,AQS,42,.,4,.,
